region_A,A_sig,B_sig,C_sig,D_sig,A_bkg,B_bkg,C_bkg,D_bkg,B_data,C_data,D_data,A_pred,fom
abcdnet_score > 0.8115151515151515 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.938492585115929,2.7331750006407427,5.70046693103934,3.266012528182993,276.08350701246667,1021.5358276130114,5397.568780039178,20424.84918437078,1884,9785,35985,512.2951229679032,0.2623711675027592
abcdnet_score > 0.8076767676767678 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.974526436965682,2.8070393238805296,5.5834306503179985,3.2731506338147955,276.91729909558376,1066.2473057462935,5241.856891936793,20535.015802256767,1963,9542,36148,518.1737855483015,0.2624615976286983
abcdnet_score > 0.8095959595959596 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.9345545714717165,2.785364727902178,5.623402515811963,3.294825229793147,273.19444590359467,1048.7667510941144,5245.579745128782,20552.496356908945,1934,9548,36177,510.4301628106255,0.26267573894790436
abcdnet_score > 0.8 and abs_deta_jj > 4.202020202020202 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.980167844311306,3.0267550799871983,5.31753232115669,3.313691799523811,275.2435999720197,1167.8964649125903,4846.239637085175,20830.657597065652,2172,8760,36722,518.1286422308153,0.2627208696430613
abcdnet_score > 0.8134343434343435 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.894272763344457,2.717889649909274,5.744686752810812,3.2812978789144616,271.8722349704191,997.166334143632,5401.780052081225,20449.21867784016,1849,9795,36020,502.8027484730705,0.262864178927063
abcdnet_score > 0.8057575757575758 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.9675238828897745,2.879992841083685,5.493353299788428,3.297277021217116,274.05477677403167,1093.138436456125,5109.102237491065,20643.741848314225,2021,9264,36372,514.7515671395579,0.26302396907167264
abcdnet_score > 0.8191919191919192 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.786298235353281,2.621155395778406,5.923960588505022,3.3067328253422956,266.3332643043645,928.2508471400942,5553.157149232056,20372.29603835892,1717,10099,35864,483.4927225072496,0.26315149605656407
abcdnet_score > 0.8211111111111111 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.745143002240087,2.5899213274650097,5.965115821618215,3.3379668936556914,263.0571901359493,911.5534354263841,5556.433223400471,20388.99345007263,1689,10111,35892,475.80182213306585,0.2633830319294987
abcdnet_score > 0.8115151515151515 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.902196705192857,2.769470880563815,5.655760382090823,3.3107190771315103,269.1826292378005,1028.4367053876776,5249.591561794577,20572.826402615385,1897,9556,36214,500.5724857789805,0.26380328056586666
abcdnet_score > 0.8019191919191919 and abs_deta_jj > 4.202020202020202 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.950517002332513,3.0072459130087794,5.347183163135481,3.33320096650223,272.9078772929794,1146.7409847883987,4848.575359764214,20851.813077189847,2131,8769,36763,508.3028860539129,0.26393282889471004
abcdnet_score > 0.8230303030303031 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.709997611159749,2.5746140998089406,6.000261212698554,3.3532741213117614,258.4241826914646,890.8041025165533,5561.066230844957,20409.742782982463,1661,10114,35920,467.6880289532294,0.26403275036645946
abcdnet_score > 0.8153535353535354 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.855424460054351,2.689142972973006,5.783535056100917,3.310044555850729,267.22361601141074,982.2624347887112,5406.428671040234,20464.122577195085,1808,9805,36061,491.59590693547045,0.2640913967096936
abcdnet_score > 0.8038383838383839 and abs_deta_jj > 4.202020202020202 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.912127250322672,2.9823312412749883,5.385572915145323,3.358115638236021,269.58029946685826,1127.5965132421966,4851.902937590336,20870.957548736045,2100,8777,36794,500.9430885470457,0.26414936958053276
abcdnet_score > 0.8076767676767678 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.923880777000497,2.857684983845714,5.536996405677707,3.3195848784550868,270.54175677743143,1072.6228480644459,5112.615257487667,20664.25743670589,1974,9271,36419,502.51116175622616,0.26426123058473316
abcdnet_score > 0.8134343434343435 and abs_deta_jj > 4.08080808080808 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.857976883421386,2.7541855298323457,5.699980203862293,3.3260044278629795,265.0205714711377,1004.0179976429133,5253.753619561238,20597.24511036014,1861,9565,36250,491.04731034482757,0.26435406029546976
abcdnet_score > 0.8095959595959596 and abs_deta_jj > 4.121212121212121 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.883908911506532,2.836010387867362,5.576968271171671,3.3412594744334383,266.8887468625519,1055.0724501351572,5116.2682674025455,20681.80783463518,1945,9277,36448,495.0550098770852,0.2644473448429745
abcdnet_score > 0.824949494949495 and abs_deta_jj > 4.0 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.671755031808325,2.552914284406426,6.038503792049978,3.3749739367142753,253.88624298612518,873.9024255778497,5565.604170550297,20426.644459921165,1631,10120,35950,459.1299026425591,0.26469740009157267
abcdnet_score > 0.8057575757575758 and abs_deta_jj > 4.161616161616162 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.927520109839707,2.9199966141337534,5.4540680513902595,3.3365622696152863,266.80403679565967,1100.389176434497,4991.441286472841,20761.402799332438,2031,9029,36607,500.9396836670582,0.2648380109356306
abcdnet_score > 0.8172727272727273 and abs_deta_jj > 4.040404040404041 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.810757236467735,2.664297326143233,5.828202279687536,3.3348902026805023,264.782341403097,961.2875262568349,5408.8699456485465,20485.097485726958,1769,9814,36100,480.9131855955679,0.2649716373547095
abcdnet_score > 0.8 and abs_deta_jj > 4.242424242424242 and hbbfatjet_xbb > 0.8 and ld_vqqfatjet_xwqq > 0.6 and ld_vqqfatjet_xvqq > 0.6,5.9433850759839615,3.0635378483145423,5.278633130965408,3.3525909897150927,269.0002929621121,1174.1397719224979,4713.30233984161,20963.594894309223,2182,8514,36968,502.53051287600084,0.2651262023841715
