+---------+--------------------------+------------+-------------------------+--------------------------+-------------------------+
| Bin#    | #rightarrow 0.63 (0.96)  |   Total    | #leftarrow 0.22 (1.00)  | #rightarrow 0.98 (0.18)  | #leftarrow 0.91 (0.99)  |
| Bin63   |        1.826 ± 0         | 1.826 ± 0  |       0.2105 ± 0        |        0.8229 ± 0        |       0.1893 ± 0        |
| Bin64   |        1.854 ± 0         | 1.854 ± 0  |       0.2237 ± 0        |        0.8107 ± 0        |       0.2023 ± 0        |
| Bin65   |        1.869 ± 0         | 1.869 ± 0  |       0.2396 ± 0        |        0.7977 ± 0        |       0.2173 ± 0        |
| Bin66   |        1.859 ± 0         | 1.859 ± 0  |       0.2523 ± 0        |        0.7827 ± 0        |       0.2306 ± 0        |
| Bin67   |        1.896 ± 0         | 1.896 ± 0  |       0.2652 ± 0        |        0.7694 ± 0        |       0.2433 ± 0        |
| Bin68   |        1.899 ± 0         | 1.899 ± 0  |       0.2807 ± 0        |        0.7567 ± 0        |       0.2588 ± 0        |
| Bin69   |        1.914 ± 0         | 1.914 ± 0  |       0.2955 ± 0        |        0.7412 ± 0        |       0.2733 ± 0        |
| Bin70   |         1.91 ± 0         |  1.91 ± 0  |       0.3114 ± 0        |        0.7267 ± 0        |       0.2901 ± 0        |
| Bin71   |        1.956 ± 0         | 1.956 ± 0  |       0.3249 ± 0        |        0.7099 ± 0        |       0.3036 ± 0        |
| Bin72   |        1.954 ± 0         | 1.954 ± 0  |       0.3376 ± 0        |        0.6964 ± 0        |       0.3196 ± 0        |
| Bin73   |        2.113 ± 0         | 2.113 ± 0  |       0.3514 ± 0        |        0.6804 ± 0        |       0.3343 ± 0        |
| Bin74   |         2.16 ± 0         |  2.16 ± 0  |       0.3652 ± 0        |        0.6657 ± 0        |       0.3489 ± 0        |
| Bin75   |        2.202 ± 0         | 2.202 ± 0  |        0.379 ± 0        |        0.6511 ± 0        |       0.3629 ± 0        |
| Bin76   |        2.207 ± 0         | 2.207 ± 0  |       0.3924 ± 0        |        0.6371 ± 0        |       0.3766 ± 0        |
| Bin77   |        2.219 ± 0         | 2.219 ± 0  |       0.4063 ± 0        |        0.6234 ± 0        |        0.391 ± 0        |
| Bin78   |        2.241 ± 0         | 2.241 ± 0  |       0.4161 ± 0        |        0.609 ± 0         |       0.4042 ± 0        |
| Bin79   |        2.505 ± 0         | 2.505 ± 0  |       0.4328 ± 0        |        0.5958 ± 0        |       0.4215 ± 0        |
| Bin80   |        2.558 ± 0         | 2.558 ± 0  |       0.4491 ± 0        |        0.5785 ± 0        |       0.4382 ± 0        |
| Bin81   |        2.567 ± 0         | 2.567 ± 0  |       0.4639 ± 0        |        0.5618 ± 0        |       0.4535 ± 0        |
| Bin82   |         2.59 ± 0         |  2.59 ± 0  |       0.4819 ± 0        |        0.5465 ± 0        |       0.4718 ± 0        |
| Bin83   |        2.592 ± 0         | 2.592 ± 0  |       0.4989 ± 0        |        0.5282 ± 0        |       0.4893 ± 0        |
| Bin84   |        2.608 ± 0         | 2.608 ± 0  |       0.5164 ± 0        |        0.5107 ± 0        |       0.5073 ± 0        |
| Bin85   |         2.63 ± 0         |  2.63 ± 0  |       0.5364 ± 0        |        0.4927 ± 0        |       0.5274 ± 0        |
| Bin86   |        2.591 ± 0         | 2.591 ± 0  |       0.5537 ± 0        |        0.4726 ± 0        |       0.5448 ± 0        |
| Bin87   |        2.552 ± 0         | 2.552 ± 0  |       0.5715 ± 0        |        0.4552 ± 0        |        0.563 ± 0        |
| Bin88   |        2.532 ± 0         | 2.532 ± 0  |        0.594 ± 0        |        0.437 ± 0         |       0.5871 ± 0        |
| Bin89   |        2.704 ± 0         | 2.704 ± 0  |        0.612 ± 0        |        0.4129 ± 0        |       0.6057 ± 0        |
| Bin90   |        2.751 ± 0         | 2.751 ± 0  |       0.6367 ± 0        |        0.3943 ± 0        |       0.6308 ± 0        |
| Bin91   |        2.725 ± 0         | 2.725 ± 0  |       0.6602 ± 0        |        0.3692 ± 0        |       0.6548 ± 0        |
| Bin92   |        2.716 ± 0         | 2.716 ± 0  |       0.6815 ± 0        |        0.3452 ± 0        |        0.677 ± 0        |
| Bin93   |        2.804 ± 0         | 2.804 ± 0  |       0.7068 ± 0        |        0.323 ± 0         |       0.7029 ± 0        |
| Bin94   |        2.809 ± 0         | 2.809 ± 0  |       0.7292 ± 0        |        0.2971 ± 0        |       0.7255 ± 0        |
| Bin95   |        2.758 ± 0         | 2.758 ± 0  |       0.7565 ± 0        |        0.2745 ± 0        |       0.7536 ± 0        |
| Bin96   |        2.793 ± 0         | 2.793 ± 0  |       0.7872 ± 0        |        0.2464 ± 0        |        0.785 ± 0        |
| Bin97   |         2.87 ± 0         |  2.87 ± 0  |       0.8218 ± 0        |        0.215 ± 0         |       0.8201 ± 0        |
| Bin98   |        2.818 ± 0         | 2.818 ± 0  |       0.8575 ± 0        |        0.1799 ± 0        |       0.8561 ± 0        |
| Bin99   |         2.54 ± 0         |  2.54 ± 0  |       0.9061 ± 0        |        0.1439 ± 0        |       0.9055 ± 0        |
| Bin100  |        2.495 ± 0         | 2.495 ± 0  |          1 ± 0          |       0.09451 ± 0        |          1 ± 0          |
| Bin101  |          0 ± 0           |   0 ± 0    |          0 ± 0          |          0 ± 0           |          0 ± 0          |
+---------+--------------------------+------------+-------------------------+--------------------------+-------------------------+
