+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.46 (420.00)  | #rightarrow 0.96 (40.00)  | #leftarrow 0.98 (920.00)  |
| Bin67  |          0 ± 0           |    0 ± 0    |        0.9974 ± 0         |       0.002893 ± 0        |        0.9971 ± 0         |
| Bin68  |          0 ± 0           |    0 ± 0    |        0.9974 ± 0         |       0.002893 ± 0        |        0.9971 ± 0         |
| Bin69  |          0 ± 0           |    0 ± 0    |        0.9974 ± 0         |       0.002893 ± 0        |        0.9971 ± 0         |
| Bin70  |          0 ± 0           |    0 ± 0    |           1 ± 0           |       0.002893 ± 0        |           1 ± 0           |
| Bin71  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin72  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin73  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin74  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin75  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin76  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin77  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin78  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin79  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin80  |          0 ± 0           |    0 ± 0    |           1 ± 0           |           0 ± 0           |           1 ± 0           |
| Bin81  |          0 ± 0           |    0 ± 0    |           0 ± 0           |           0 ± 0           |           0 ± 0           |
+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
