+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.48 (59.38)  |    Total     | #leftarrow 0.74 (118.75)  | #rightarrow 0.96 (62.50)  | #leftarrow 0.98 (146.88)  |
| Bin62  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin63  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin64  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin65  |        0.01429 ± 0        | 0.01429 ± 0  |         1.057 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin66  |        0.01429 ± 0        | 0.01429 ± 0  |        0.9981 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin67  |           0 ± 0           |    0 ± 0     |        0.9981 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin68  |           0 ± 0           |    0 ± 0     |        0.9981 ± 0         |       0.004664 ± 0        |        0.9953 ± 0         |
| Bin69  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.004664 ± 0        |        0.9974 ± 0         |
| Bin70  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin71  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin72  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin73  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin74  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin75  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin76  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin77  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin78  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin79  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin80  |           0 ± 0           |    0 ± 0     |           1 ± 0           |       0.002632 ± 0        |        0.9974 ± 0         |
| Bin81  |           0 ± 0           |    0 ± 0     |           0 ± 0           |           0 ± 0           |           0 ± 0           |
+--------+---------------------------+--------------+---------------------------+---------------------------+---------------------------+
