+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.49 (-3.30)  |    Total    | #leftarrow 0.46 (6.00)  | #rightarrow 0.95 (-4.50)  | #leftarrow 0.95 (4.50)  |
| Bin65  |           0 ± 0           |    0 ± 0    |       0.6609 ± 0        |        0.4017 ± 0         |       0.6392 ± 0        |
| Bin66  |           0 ± 0           |    0 ± 0    |       0.7081 ± 0        |        0.3608 ± 0         |       0.6882 ± 0        |
| Bin67  |           0 ± 0           |    0 ± 0    |       0.7672 ± 0        |        0.3118 ± 0         |        0.75 ± 0         |
| Bin68  |           0 ± 0           |    0 ± 0    |       0.8245 ± 0        |         0.25 ± 0          |       0.8106 ± 0        |
| Bin69  |           0 ± 0           |    0 ± 0    |       0.8855 ± 0        |        0.1894 ± 0         |       0.8758 ± 0        |
| Bin70  |           0 ± 0           |    0 ± 0    |       0.9549 ± 0        |        0.1242 ± 0         |       0.9507 ± 0        |
| Bin71  |           0 ± 0           |    0 ± 0    |       0.9915 ± 0        |        0.04926 ± 0        |       0.9907 ± 0        |
| Bin72  |           0 ± 0           |    0 ± 0    |          1 ± 0          |       0.009312 ± 0        |          1 ± 0          |
| Bin73  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin74  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin75  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin76  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin77  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin78  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin79  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin80  |           0 ± 0           |    0 ± 0    |          1 ± 0          |           0 ± 0           |          1 ± 0          |
| Bin81  |           0 ± 0           |    0 ± 0    |          0 ± 0          |           0 ± 0           |          0 ± 0          |
+--------+---------------------------+-------------+-------------------------+---------------------------+-------------------------+
