+--------+----------------------------+-------------+--------------------------+---------------------------+-------------------------+
| Bin#   | #rightarrow 0.46 (-10.00)  |    Total    | #leftarrow 0.46 (10.00)  | #rightarrow 0.95 (-8.50)  | #leftarrow 0.94 (8.50)  |
| Bin63  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin64  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin65  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin66  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin67  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin68  |         0.6038 ± 0         | 0.6038 ± 0  |        0.9871 ± 0        |        0.5286 ± 0         |       0.4714 ± 0        |
| Bin69  |         0.6038 ± 0         | 0.6038 ± 0  |        0.6275 ± 0        |        0.5286 ± 0         |       0.4908 ± 0        |
| Bin70  |         0.8183 ± 0         | 0.8183 ± 0  |        0.7214 ± 0        |        0.5092 ± 0         |       0.6214 ± 0        |
| Bin71  |         0.7473 ± 0         | 0.7473 ± 0  |        0.8304 ± 0        |        0.3786 ± 0         |        0.724 ± 0        |
| Bin72  |         0.5637 ± 0         | 0.5637 ± 0  |        0.8926 ± 0        |         0.276 ± 0         |        0.829 ± 0        |
| Bin73  |         0.4617 ± 0         | 0.4617 ± 0  |        0.9533 ± 0        |         0.171 ± 0         |        0.891 ± 0        |
| Bin74  |         0.3066 ± 0         | 0.3066 ± 0  |        0.9986 ± 0        |         0.109 ± 0         |       0.9375 ± 0        |
| Bin75  |         0.1819 ± 0         | 0.1819 ± 0  |        0.984 ± 0         |        0.06245 ± 0        |       0.9825 ± 0        |
| Bin76  |           0 ± 0            |    0 ± 0    |        0.996 ± 0         |        0.01752 ± 0        |       0.9956 ± 0        |
| Bin77  |           0 ± 0            |    0 ± 0    |          1 ± 0           |       0.004426 ± 0        |          1 ± 0          |
| Bin78  |           0 ± 0            |    0 ± 0    |          1 ± 0           |           0 ± 0           |          1 ± 0          |
| Bin79  |           0 ± 0            |    0 ± 0    |          1 ± 0           |           0 ± 0           |          1 ± 0          |
| Bin80  |           0 ± 0            |    0 ± 0    |          1 ± 0           |           0 ± 0           |          1 ± 0          |
| Bin81  |           0 ± 0            |    0 ± 0    |          0 ± 0           |           0 ± 0           |          0 ± 0          |
+--------+----------------------------+-------------+--------------------------+---------------------------+-------------------------+
