+--------+----------------------------+-------------+----------------------------+---------------------------+----------------------------+
| Bin#   | #rightarrow 0.48 (225.00)  |    Total    | #leftarrow 0.46 (2000.00)  | #rightarrow 0.97 (50.00)  | #leftarrow 0.98 (1350.00)  |
| Bin73  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin74  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin75  |           0 ± 0            |    0 ± 0    |         0.9992 ± 0         |        0.01057 ± 0        |         0.9894 ± 0         |
| Bin76  |           0 ± 0            |    0 ± 0    |           1 ± 0            |        0.01057 ± 0        |         0.9903 ± 0         |
| Bin77  |           0 ± 0            |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin78  |           0 ± 0            |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin79  |           0 ± 0            |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin80  |           0 ± 0            |    0 ± 0    |           1 ± 0            |       0.009696 ± 0        |         0.9903 ± 0         |
| Bin81  |           0 ± 0            |    0 ± 0    |           0 ± 0            |           0 ± 0           |           0 ± 0            |
+--------+----------------------------+-------------+----------------------------+---------------------------+----------------------------+
