+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
| Bin#   | #rightarrow 0.46 (0.00)  |    Total    | #leftarrow 0.49 (210.00)  | #rightarrow 0.97 (20.00)  | #leftarrow 0.98 (800.00)  |
| Bin60  |          0 ± 0           |    0 ± 0    |        0.9733 ± 0         |        0.05827 ± 0        |        0.9497 ± 0         |
| Bin61  |          0 ± 0           |    0 ± 0    |        0.9754 ± 0         |        0.05035 ± 0        |        0.9518 ± 0         |
| Bin62  |          0 ± 0           |    0 ± 0    |        0.9773 ± 0         |        0.04815 ± 0        |        0.9539 ± 0         |
| Bin63  |          0 ± 0           |    0 ± 0    |        0.9818 ± 0         |        0.04612 ± 0        |        0.9587 ± 0         |
| Bin64  |          0 ± 0           |    0 ± 0    |        0.9862 ± 0         |        0.04128 ± 0        |        0.9634 ± 0         |
| Bin65  |          0 ± 0           |    0 ± 0    |        0.9909 ± 0         |        0.03665 ± 0        |        0.9684 ± 0         |
| Bin66  |          0 ± 0           |    0 ± 0    |        0.9909 ± 0         |        0.03162 ± 0        |        0.9684 ± 0         |
| Bin67  |          0 ± 0           |    0 ± 0    |        0.9909 ± 0         |        0.03162 ± 0        |        0.9684 ± 0         |
| Bin68  |          0 ± 0           |    0 ± 0    |        0.9934 ± 0         |        0.03162 ± 0        |        0.9711 ± 0         |
| Bin69  |          0 ± 0           |    0 ± 0    |        0.9934 ± 0         |        0.02893 ± 0        |        0.9711 ± 0         |
| Bin70  |          0 ± 0           |    0 ± 0    |        0.9934 ± 0         |        0.02893 ± 0        |        0.9711 ± 0         |
| Bin71  |          0 ± 0           |    0 ± 0    |        0.9934 ± 0         |        0.02893 ± 0        |        0.9711 ± 0         |
| Bin72  |          0 ± 0           |    0 ± 0    |        0.9974 ± 0         |        0.02893 ± 0        |        0.9753 ± 0         |
| Bin73  |          0 ± 0           |    0 ± 0    |        0.9974 ± 0         |        0.02465 ± 0        |        0.9753 ± 0         |
| Bin74  |          0 ± 0           |    0 ± 0    |        0.9996 ± 0         |        0.02465 ± 0        |        0.9777 ± 0         |
| Bin75  |          0 ± 0           |    0 ± 0    |        0.9996 ± 0         |        0.02232 ± 0        |        0.9777 ± 0         |
| Bin76  |          0 ± 0           |    0 ± 0    |        0.9996 ± 0         |        0.02232 ± 0        |        0.9777 ± 0         |
| Bin77  |          0 ± 0           |    0 ± 0    |        0.9996 ± 0         |        0.02232 ± 0        |        0.9777 ± 0         |
| Bin78  |          0 ± 0           |    0 ± 0    |        0.9996 ± 0         |        0.02232 ± 0        |        0.9777 ± 0         |
| Bin79  |          0 ± 0           |    0 ± 0    |        0.9996 ± 0         |        0.02232 ± 0        |        0.9777 ± 0         |
| Bin80  |          0 ± 0           |    0 ± 0    |           1 ± 0           |        0.02232 ± 0        |        0.9781 ± 0         |
| Bin81  |          0 ± 0           |    0 ± 0    |           0 ± 0           |           0 ± 0           |           0 ± 0           |
+--------+--------------------------+-------------+---------------------------+---------------------------+---------------------------+
